player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Brenton Strange,Jax,TE,FA,,@SF,W 26-21,--,10.5,20th,7,22.6,1.3,37.2,9.3,--
Commanders D/ST,Wsh,D/ST,FA,,@Atl,L 27-34,--,-1,20th,6.9,10.9,-2.4,16,4,--
Chris Godwin Jr.,TB,WR,FA,,Phi,L 25-31,--,5.6,17th,6.8,79.6,3.3,5.6,5.6,--
Trevor Lawrence,Jax,QB,FA,,@SF,W 26-21,--,11.66,9th,6.5,29.2,-5.8,49,12.3,--
Will Reichard,Min,K,FA,,@Pit,L 21-24,--,8,6th,6.2,7.2,0.8,40,10,--
Christian Kirk,Hou,WR,FA,,Ten,W 26-0,--,5,28th,6.1,31.6,9.7,10.5,5.3,--
Chiefs D/ST,KC,D/ST,FA,,Bal,W 37-20,--,6,5th,6,13.2,-9.2,25,6.3,--
Stefon Diggs,NE,WR,FA,,Car,W 42-13,--,16.1,3rd,5.9,76.7,-7.3,40.3,10.1,--
Bears D/ST,Chi,D/ST,FA,,@LV,W 25-24,--,9,23rd,5.7,7.8,3.2,21,5.3,--
Troy Franklin,Den,WR,FA,,Cin,W 28-3,--,9.5,16th,5.7,43.6,-5.8,44.7,11.2,--
Wan'Dale Robinson,NYG,WR,FA,,LAC,W 21-18,--,4.4,7th,5.7,54.2,-4.9,47.7,11.9,--
Darnell Mooney,Atl,WR,FA,,Wsh,W 34-27,--,2.5,25th,5.7,58,-0.5,14.9,5,--
Woody Marks,Hou,RB,FA,,Ten,W 26-0,--,27.9,30th,5.5,33.2,24.4,38.9,9.7,--
Colston Loveland,Chi,TE,FA,,@LV,W 25-24,--,--,5th,5.5,42.8,-8.1,7.3,2.4,--
Dalton Schultz,Hou,TE,FA,,Ten,W 26-0,--,8,11th,5,12.5,3.2,28.6,7.2,--
Tua Tagovailoa,Mia,QB,FA,,NYJ,W 27-21,--,15.68,24th,4.7,22.2,-0.8,52.38,13.1,--
Rashid Shaheed,NO,WR,FA,,@Buf,L 19-31,--,9.2,9th,4.7,62.1,-3.1,41.9,10.5,--
Joey Slye,Ten,K,FA,,@Hou,L 0-26,--,-2,1st,4.6,5.3,2.7,39,9.8,--
Aaron Jones Sr.,Min,RB,FA,,@Pit,L 21-24,--,--,13th,4.5,81.3,-2.9,18,9,--
Jaguars D/ST,Jax,D/ST,FA,,@SF,W 26-21,--,14,15th,4.5,7,1.8,46,11.5,--
Elic Ayomanor,Ten,WR,FA,,@Hou,L 0-26,--,6.4,18th,4.4,31.1,10,39.1,9.8,--
Zach Charbonnet,Sea,RB,FA,,@Ari,W 23-20,--,12.4,25th,4.3,69,-1.2,24.1,8,--
Michael Penix Jr.,Atl,QB,FA,,Wsh,W 34-27,--,18.72,26th,3.9,20.1,-11.1,51.82,13,--
Giants D/ST,NYG,D/ST,FA,,LAC,W 21-18,--,6,12th,3.7,7.2,-0.9,5,1.3,--
Jaxson Dart,NYG,QB,FA,,LAC,W 21-18,--,19.84,11th,3.7,21.1,17.4,19.84,6.6,--
Rashod Bateman,Bal,WR,FA,,@KC,L 20-37,--,3.4,13th,3.6,27.4,3.1,27.2,6.8,--
Panthers D/ST,Car,D/ST,FA,,@NE,L 13-42,--,-2,29th,3.6,4.1,3.7,21,5.3,--
Aaron Rodgers,Pit,QB,FA,,Min,W 24-21,--,12.8,3rd,3.6,17.7,-3.2,60.54,15.1,--
Rashee Rice,KC,WR,FA,,Bal,W 37-20,--,--,20th,3.6,86,-0.2,--,--,--
Tyquan Thornton,KC,WR,FA,,Bal,W 37-20,--,8.1,20th,3.2,19.2,17,46.2,11.6,--
Tyrone Tracy Jr.,NYG,RB,FA,,LAC,W 21-18,--,--,5th,3.2,70.4,-12.1,20.2,6.7,--
Daniel Carlson,LV,K,FA,,Chi,L 24-25,--,5,17th,3.1,3.9,-0.2,31,7.8,--
Carson Wentz,Min,QB,FA,,@Pit,L 21-24,--,21.2,28th,3.1,6.2,3.1,36.52,18.3,--
Bengals D/ST,Cin,D/ST,FA,,@Den,L 3-28,--,-5,12th,3,6.4,-16.6,3,0.8,--
Nick Folk,NYJ,K,FA,,@Mia,L 21-27,--,11,25th,2.9,4,0.3,37,9.3,--
Joe Mixon,Hou,RB,FA,,Ten,W 26-0,--,--,30th,2.9,64.6,-1,--,--,--
Sam Darnold,Sea,QB,FA,,@Ari,W 23-20,--,16.08,16th,2.9,9.4,1.6,54,13.5,--
Eddy Pineiro,SF,K,FA,,Jax,L 21-26,--,7,3rd,2.7,3.1,1.5,29,9.7,--
Bryce Young,Car,QB,FA,,@NE,L 13-42,--,10.3,18th,2.2,9.9,0.2,51.42,12.9,--
Dolphins D/ST,Mia,D/ST,FA,,NYJ,W 27-21,--,5,23rd,2.2,3,0.9,10,2.5,--
Jerome Ford,Cle,RB,FA,,@Det,L 10-34,--,1.3,9th,2,38.4,-5.2,18.2,4.6,--
Rachaad White,TB,RB,FA,,Phi,L 25-31,--,8.6,12th,2,48,-3.9,28.2,7.1,--
Cedric Tillman,Cle,WR,FA,,@Det,L 10-34,--,1.6,23rd,1.7,38.6,-5.5,33.6,8.4,--
Kaleb Johnson,Pit,RB,FA,,Min,W 24-21,--,2.2,10th,1.7,42.3,-7,2.1,0.7,--
Devin Singletary,NYG,RB,FA,,LAC,W 21-18,--,2.8,5th,1.6,5.4,5,5.8,1.5,--
Calvin Austin III,Pit,WR,FA,,Min,W 24-21,--,3.3,1st,1.6,13.8,3.1,35.9,9,--
Tyler Allgeier,Atl,RB,FA,,Wsh,W 34-27,--,11.1,3rd,1.5,35.5,-2.2,29.9,7.5,--
Cowboys D/ST,Dal,D/ST,FA,,GB,T 40-40,--,-1,14th,1.5,3.6,-2.3,-6,-1.5,--
Dontayvion Wicks,GB,WR,FA,,@Dal,T 40-40,--,3.9,32nd,1.5,6.3,2.4,21.4,5.4,--
Josh Downs,Ind,WR,FA,,@LAR,L 20-27,--,6.4,19th,1.5,48.7,-4.7,26.1,6.5,--
Sterling Shepard,TB,WR,FA,,Phi,L 25-31,--,4,17th,1.5,7.2,6.3,30.3,7.6,--
Jake Browning,Cin,QB,FA,,@Den,L 3-28,--,5.4,8th,1.4,6.9,-6.4,29.04,9.7,--
Bhayshul Tuten,Jax,RB,FA,,@SF,W 26-21,--,3.2,7th,1.4,47.6,-0.5,27.8,7,--
Brian Robinson Jr.,SF,RB,FA,,Jax,L 21-26,--,2.1,4th,1.4,42,-3.8,11.9,3,--
Browns D/ST,Cle,D/ST,FA,,@Det,L 10-34,--,3,3rd,1.3,3.6,1.9,26,6.5,--
Cade Otton,TB,TE,FA,,Phi,L 25-31,--,3.9,4th,1.3,10.6,-2.5,9.4,2.4,--
Ollie Gordon II,Mia,RB,FA,,NYJ,W 27-21,--,1,20th,1.2,28,4.8,14.4,3.6,--
Pat Freiermuth,Pit,TE,FA,,Min,W 24-21,--,0,18th,1.2,8.2,-1,13.5,3.4,--
Cam Ward,Ten,QB,FA,,@Hou,L 0-26,--,4.52,10th,1.2,13.5,-2.4,28.76,7.2,--
Marvin Mims Jr.,Den,WR,FA,,Cin,W 28-3,--,20.5,16th,1.1,21.5,-3.6,34.5,8.6,--
