player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Bryce Young,Car,QB,FA,,@Ari,L 22-27,--,21.32,12th,1,10.5,-4.3,29.48,14.7,--
Rachaad White,TB,RB,FA,,@Hou,Mon 6:00 PM,--,14.6,12th,1,47.6,-7.3,2.6,2.6,--
Najee Harris,LAC,RB,FA,,@LV,Mon 9:00 PM,--,6.8,10th,1,39.7,-6,2,2,--
Chad Ryland,Ari,K,FA,,Car,W 27-22,--,10,29th,0.9,1.1,0.2,20,10,--
Saints D/ST,NO,D/ST,FA,,SF,L 21-26,--,5,18th,0.9,1.1,0.6,14,7,--
Browns D/ST,Cle,D/ST,FA,,@Bal,L 17-41,--,2,3rd,0.9,1.8,-0.2,9,4.5,--
Jake Tonges,SF,TE,FA,,@NO,W 26-21,--,7.1,24th,0.8,2.4,2.4,17.6,8.8,--
DeMario Douglas,NE,WR,FA,,@Mia,W 33-27,--,1.8,22nd,0.8,17.5,-3,10,5,--
Tank Bigsby,Phi,RB,FA,,@KC,W 20-17,--,0,5th,0.8,51.1,-18.8,1.2,0.6,--
Russell Wilson,NYG,QB,FA,,@Dal,L 37-40,--,30.3,25th,0.7,3.5,-0.6,41.42,20.7,--
Falcons D/ST,Atl,D/ST,FA,,@Min,W 22-6,--,21,30th,0.7,1.2,0.3,24,12,--
Sam Darnold,Sea,QB,FA,,@Pit,W 31-17,--,15.8,31st,0.7,7.3,-2.4,21.2,10.6,--
Joshua Palmer,Buf,WR,FA,,@NYJ,W 30-10,--,6.7,24th,0.7,13.4,0.1,17.8,8.9,--
Jayden Higgins,Hou,WR,FA,,TB,Mon 6:00 PM,--,3.8,14th,0.7,46.7,-10.8,5.2,5.2,--
Mac Jones,SF,QB,FA,,@NO,W 26-21,--,21.76,19th,0.6,1.4,1.3,21.76,21.8,--
DeAndre Hopkins,Bal,WR,FA,,Cle,W 41-17,--,14.4,1st,0.6,9.7,0.4,25.9,13,--
Graham Gano,NYG,K,FA,,@Dal,L 37-40,--,13,13th,0.6,0.8,-0.1,21,10.5,--
Eddy Pineiro,SF,K,FA,,@NO,W 26-21,--,10,21st,0.6,0.8,0.7,10,10,--
Andy Borregales,NE,K,FA,,@Mia,W 33-27,--,9,32nd,0.6,0.9,-0.1,16,8,--
Ollie Gordon II,Mia,RB,FA,,NE,L 27-33,--,2.3,7th,0.6,31.7,-11.9,3.6,1.8,--
Chris Godwin Jr.,TB,WR,FA,,@Hou,Mon 6:00 PM,--,--,26th,0.5,77.6,-3.3,--,--,--
Joey Slye,Ten,K,FA,,LAR,L 19-33,--,17,28th,0.5,0.7,0.3,32,16,--
Justice Hill,Bal,RB,FA,,Cle,W 41-17,--,5.5,8th,0.5,13.2,-2.1,5.4,2.7,--
Raiders D/ST,LV,D/ST,FA,,LAC,Mon 9:00 PM,--,4,9th,0.5,0.9,0,9,9,--
Blake Grupe,NO,K,FA,,SF,L 21-26,--,2,13th,0.5,0.7,-0.1,8,4,--
Jake Moody,FA,K,FA,,--,,--,--,--,0.4,0.9,-1.7,--,3,--
Jordan Addison,Min,WR,FA,,Atl,L 6-22,--,--,28th,0.4,77.3,-3,--,--,--
Bhayshul Tuten,Jax,RB,FA,,@Cin,L 27-31,--,15.4,26th,0.4,40,-2.2,16.5,8.3,--
Tyler Allgeier,Atl,RB,FA,,@Min,W 22-6,--,15,6th,0.4,34.1,-4.7,17.4,8.7,--
Joe Flacco,Cle,QB,FA,,@Bal,L 17-41,--,8.76,32nd,0.4,2.3,-0.1,20.96,10.5,--
Ryan Fitzgerald,Car,K,FA,,@Ari,L 22-27,--,4,9th,0.4,0.6,-0.1,9,4.5,--
Braelon Allen,NYJ,RB,FA,,Buf,L 10-30,--,1.1,31st,0.4,36.4,-6.2,8,4,--
Justin Tucker,FA,K,FA,,--,,--,--,--,0.3,0.6,-0.1,--,--,--
Elic Ayomanor,Ten,WR,FA,,LAR,L 19-33,--,15.6,8th,0.3,7.7,3.2,18.9,9.5,--
KaVontae Turpin,Dal,WR,FA,,NYG,W 40-37,--,15.3,24th,0.3,2.1,0.1,20,10,--
Miles Sanders,Dal,RB,FA,,NYG,W 40-37,--,9.9,28th,0.3,3.3,0.5,13.9,7,--
Tyler Higbee,LAR,TE,FA,,@Ten,W 33-19,--,7.7,13th,0.3,2.3,-0.5,7.7,3.9,--
Theo Johnson,NYG,TE,FA,,@Dal,L 37-40,--,7.4,17th,0.3,2,-0.7,8.9,4.5,--
Panthers D/ST,Car,D/ST,FA,,@Ari,L 22-27,--,5,23rd,0.3,0.4,0,6,3,--
Mike Gesicki,Cin,TE,FA,,Jax,W 31-27,--,4.8,6th,0.3,2.4,-0.7,7.2,3.6,--
Dont'e Thornton Jr.,LV,WR,FA,,LAC,Mon 9:00 PM,--,3,23rd,0.3,12.2,-2.8,6.5,6.5,--
Michael Mayer,LV,TE,FA,,LAC,Mon 9:00 PM,--,2.9,22nd,0.3,6.1,5.6,7.8,7.8,--
Ray Davis,Buf,RB,FA,,@NYJ,W 30-10,--,2.4,17th,0.3,18.1,-4.6,3.5,1.8,--
Mason Taylor,NYJ,TE,FA,,Buf,L 10-30,--,1.5,2nd,0.3,4.5,-1.8,4.5,2.3,--
Titans D/ST,Ten,D/ST,FA,,LAR,L 19-33,--,1,21st,0.3,0.6,0,10,5,--
Isaiah Likely,Bal,TE,FA,,Cle,W 41-17,--,--,23rd,0.2,6.5,-0.1,--,--,--
Jaydon Blue,Dal,RB,FA,,NYG,W 40-37,--,--,28th,0.2,33.2,-10.3,--,--,--
Zane Gonzalez,FA,K,FA,,--,,--,--,--,0.2,0.2,0,--,--,--
Darren Waller,Mia,TE,FA,,NE,L 27-33,--,--,31st,0.2,13.4,-6.3,--,--,--
Spencer Rattler,NO,QB,FA,,SF,L 21-26,--,21.68,2nd,0.2,1.3,0.1,33.14,16.6,--
Tyquan Thornton,KC,WR,FA,,Phi,L 17-20,--,13.9,17th,0.2,1.1,1,20,10,--
Ja'Tavion Sanders,Car,TE,FA,,@Ari,L 22-27,--,12.4,25th,0.2,1,-0.2,17.1,8.6,--
Malik Washington,Mia,WR,FA,,NE,L 27-33,--,9.5,29th,0.2,1.2,0.5,14.4,7.2,--
Michael Wilson,Ari,WR,FA,,Car,W 27-22,--,8.1,13th,0.2,6.4,-1.6,9.6,4.8,--
Darius Slayton,NYG,WR,FA,,@Dal,L 37-40,--,8.1,3rd,0.2,4.5,-1.3,8.1,4.1,--
Elijah Arroyo,Sea,TE,FA,,@Pit,W 31-17,--,5.1,8th,0.2,2,-1,6.8,3.4,--
Cole Kmet,Chi,TE,FA,,@Det,L 21-52,--,4.9,17th,0.2,1,-0.1,9,4.5,--
Tre Tucker,LV,WR,FA,,LAC,Mon 9:00 PM,--,4.9,23rd,0.2,2.3,1.4,13.4,13.4,--
Isaac TeSlaa,Det,WR,FA,,Chi,W 52-21,--,3.9,6th,0.2,5.8,-0.4,12.2,6.1,--
Rico Dowdle,Car,RB,FA,,@Ari,L 22-27,--,2.9,14th,0.2,6.7,-1.3,6.5,3.3,--
Ray-Ray McCloud III,Atl,WR,FA,,@Min,W 22-6,--,0,21st,0.2,3.2,-0.6,8.1,4.1,--
Shedeur Sanders,Cle,QB,FA,,@Bal,L 17-41,--,--,32nd,0.1,2.6,-0.6,--,--,--
Harrison Mevis,FA,K,FA,,--,,--,--,--,0.1,0.1,0,--,--,--
Dustin Hopkins,FA,K,FA,,--,,--,--,--,0.1,0.1,0,--,--,--
Dameon Pierce,Hou,RB,FA,,TB,Mon 6:00 PM,--,--,29th,0.1,6.1,-3.8,0.5,0.5,--
